sru_type,altitude,visibility,search_object_en,search_object_size,sweep_width
FIXED,600,10,SHIP,92,13.20
FIXED,600,15,PIW,1,0.00
FIXED,600,15,POWERBOAT,5,2.00
FIXED,600,15,POWERBOAT,6,4.60
FIXED,600,15,POWERBOAT,10,6.90
FIXED,600,15,POWERBOAT,16,11.00
FIXED,600,15,POWERBOAT,24,13.60
FIXED,600,15,RAFT,1,1.40
FIXED,600,15,RAFT,4,2.20
FIXED,600,15,RAFT,6,2.70
FIXED,600,15,RAFT,8,2.90
FIXED,600,15,RAFT,10,3.10
FIXED,600,15,RAFT,15,3.50
FIXED,600,15,RAFT,20,4.00
FIXED,600,15,RAFT,25,4.40
FIXED,600,15,SAILBOAT,5,4.10
FIXED,600,15,SAILBOAT,8,6.40
FIXED,600,15,SAILBOAT,12,10.10
FIXED,600,15,SAILBOAT,15,11.50
FIXED,600,15,SAILBOAT,21,12.90
FIXED,600,15,SAILBOAT,25,13.90
FIXED,600,15,SHIP,27,16.00
FIXED,600,15,SHIP,46,16.00
FIXED,600,15,SHIP,47,18.90
FIXED,600,15,SHIP,91,18.90
FIXED,600,15,SHIP,92,20.70
FIXED,600,20,PIW,1,0.00
FIXED,600,20,POWERBOAT,5,2.20
FIXED,600,20,POWERBOAT,6,5.10
FIXED,600,20,POWERBOAT,10,8.00
FIXED,600,20,POWERBOAT,16,13.30
FIXED,600,20,POWERBOAT,24,16.80
FIXED,600,20,RAFT,1,1.40
FIXED,600,20,RAFT,4,2.30
FIXED,600,20,RAFT,6,2.90
FIXED,600,20,RAFT,8,3.20
FIXED,600,20,RAFT,10,3.50
FIXED,600,20,RAFT,15,3.90
FIXED,600,20,RAFT,20,4.50
FIXED,600,20,RAFT,25,4.90
FIXED,600,20,SAILBOAT,5,4.50
FIXED,600,20,SAILBOAT,8,7.30
FIXED,600,20,SAILBOAT,12,12.10
FIXED,600,20,SAILBOAT,15,13.90
FIXED,600,20,SAILBOAT,21,15.70
FIXED,600,20,SAILBOAT,25,17.10
